Name,RA,Dec,Const,Type,DimMax,DimMin,Vis,Brightness,Color,Shape,Structure,HD,*Mag,*Spec,Notes
NGC 2247,6 33.2,+10 20,Mon,R,4,3,eF,2,I, , ,259431,8.74,B6pe, ,
Sh2-282,6 38.0,+1 31,Mon,E,40,15, ,3,R,Ir,AF,47432,6.21,09.5III, ,
NGC 2261,6 39.2,+8 44,Mon,E+R,2,1,B,1,I, , ,R Mon,10.0 v, ,"Hubdble's variable neb. (fan-shaped)"
NGC 2264,6 40.9,+9 54,Mon,E,60,30, ,1,R,Ir,AF,47839,4.66v,O7Ve,"Cone nebula. [S Mon]"
NGC 2282,6 46.9,+1 19,Mon,R,3,3,F,3,I, , ,289120,9.3,B3,"Same as IC 2172"
NGC 2316,6 59.7,-7 46,Mon,E+R,4,3,pF,2,B, , , , , , ,
Gum 1,7 04.3,-10 28,Mon,E+R,20,20, ,2,R,Ir,AF,53367,6.96,BOIVe?,"RCW 2"
IC 2177,7 05.1,-10 42,Mon,E,120,40, ,3,R, , ,54662,6.21,O71II,"Gum 2, RCW 1, Sh2-296"
Ced 90,7 05.2,-12 20,CMa,E+R,10,10, ,1,I,Ir,AF,53623,8.5,B9,"Gum 3, RCW 1"
IC 466,7 08.6,-4 19,Mon,E+R,1,1,vF,1,R,Ir,AF, , , , ,
Sh2-301,7 09.8,-18 29,CMa,E,8,7, ,1,R,E,AF, ,10, ,"Gum 5, RCW 6"
NGC 2362,7 13.1:,-24 35:,CMa,E,300,90, ,5,VR,Ir,AF,57061,4.40,O9Ib,"[ CMa]"
Sh2-294,7 16.6,-9 26,Mon,E,8,7, ,2,R,Ir,AF, , , , ,
IC 468,7 17.5,-13 05,CMa,E,20,20,vF,3,R, , , , , , ,
NGC 2359,7 18.6,-13 12,CMa,E,8,6,vF?,2,R,Ir,F,56925, ,WN4,"Gum 4, RCW 5, ring-shaped"
vdB 96,7 19.6,-23 58,CMa,R,10,5, ,3,B, , ,57281,9.2,B9,"Several components"
Sh2-302,7 31.6,-16 58,Pup,E,20,20, ,4,R,E,A,59934,7.8,B5.5V,"Gum 6, RCW 7"
vdB 97,7 32.6,-16 54,Pup,R,2, , ,3,B, , , ,9.9, ,"Near H II region Sh2-302"
Sh2-307,7 35.5,-18 46,Pup,E,4,4, ,3,VR,Ir,AF, , , ,"Gum 7, RCW 12"
vdB 98,7 36.4,-25 20,Pup,R,15,15, ,3,VB, , ,61071,7.3,B5, ,
NGC 2467,7 52.5,-26 24,Pup,E,8,7,pB,1,R,Ir,AF,64315,9.2,B,"Gum 9, RCW 16. Faint streamers and cl."
NGC 2579,8 20.9,-36 13,Pup,E,2, , , , , , , ,10.2, ,"Gum 11, RCW 20"
Gum 12,8 30:,-45:,Vel,E,1200,720, ,4, ,C,F, , , ,"Gum nebula, Vela SNR with PSR 0833-45"
NGC 2626,8 35.6,-40 40,Vel,E+R,5, ,pB,1,1 , , ,10.02,B1V, , ,
Gum 15,8 44.6,-41 17,Vel,E,20, , ,3, , , , , , ,"RCW 32. Brighter knot in Gum nebula"
Gua 17,8 50.5,-42 07,Vel,E,100,65, ,3,I, , , , , ,"RCW 3. Bright knot, dark lane in Gum"
Gun 23,8 59.7,-47 27,Vel,E,20,10, ,2, , , , , , ,"RCW 38. Part of Gum nebula"
Sh2-312,9 00:,-26:,Pyx,E,720, , ,3, ,Ir,AF, , , , , ,
Gum 25,9 02.4,-48 42,Vel,E,7,6, ,2, , , , , , ,"RCW 40"
RCW 47,10 05.2,-58 57,Car,E,25,20, ,3, , , , , , , ,
NGC 3199,10 17.1,-57 55,Car,E,22,22,vB,3, , , ,89358,11.1,WC,"RCW 48. A partial ring"
NGC 3247,10 24.8,-57 53,Car,E,6, , ,2, , , , , , ,"RCW 49"
RCW 50,10 26.4,-57 09,Car,E,12,12, ,3, , , , , , , ,
NGC 3293,10 34.0,-58 06,Car,E+R,40, ,B?,3,R-B, , ,91969,6.51,BOIb,"Part of RCW 53"
NGC 3324,10 37.7,-58 40,Car,E+R,16,14,pB,2,R-B, , ,92206,7.7,06,"Part of RCW 53. Includes IC 2599"
NGC 3372,10 43.8,-59 52,Car,E,120,120, ,1,R, , ,93308,6.21v, ,"Car nebula. Contains Keyhole neb"
Gum 32,10 46.3,-58 39,Car,E,7, , ,2, , , , ,10.0, ,"RCW 52"
NGC 3503,11 01.3,-59 51,Car,E+R,3, ,vF,2,MR, , , ,10.46,BOVe, ,
RCW 58,11 06.3,-65 34,Car,E,7,7, ,3, , , ,96548,7.70,WN8,"Ring-shaped"
NGC 3572,11 09.9,-60 06,Car,E,20, , ,3, , , ,97151?,7.74,B2Ve,"RCW 54"
"NGC 3576,79",11 12.0,-61 12,Car,E,20,15,F,2, , , , , , ,"Part of RCW 57 with NGC 3581-2, 84, 86"
NGC 3603,11 15.1,-61 12,Car,E,12,10, ,2, , , ,97950,9.2,WN5+0,"Part of RCW 57"
Gum 39,11 28.9,-62 41,Cen,E,20,10, ,3,R, , ,99897?,8.6,06,"Part of RCW 60"
IC 2872,11 29.0,-62 57,Cen,E,12,4, ,4,R, , ,99898?,9.3,B5:III:,"Part of RCW 60"
Gum 41,11 30.4,-63 50,Cen,E+R,15,15, ,3,VR-B, , ,100099,8.08,O9III,"RCW 61"
RCW 59,11 37:,-57:,Cen,E,180,150, ,3, ,C, , , , , ,
"IC 2944,8",11 38.3,-63 22,Cen,E,75,50, ,2,R, , ,100841,3.13,B9III,"RCW 62."
NGC 3882,11 46.1,-56 22,Cen,R?, , ,vF, , , , ,102277,9.0,A2:V, ,
IC 2966,11 50.4,-64 54,Mus,R,3, , ,2,I, , , ,11.47,BO.5V, ,
Ced 122,13 25.4:,-64 01:,Cen,E,150,150, , , , , ,113904?,5.51,BOIa,"Large nebula f Coalsack."
NGC 5367,13 57.7,-39 59,Cen,R,4,3,vB,2, , , , , , ,"Double nucleus, includes IC 4347"
vdBH 63,14 49.4,-65 14,Cir,R,1, , ,2,B, , ,130079,10.49,B9Vp?,"Near dark nebula Bernes 145"
vdBH 65a,15 01.1,-63 17,Cir,R, , , ,1,R, , , ,13.86v?, ,"Cometary"
Sh2-1,15 58.9,-26 09,Sco,E+R,90,10, ,4,VB,Ir,AF,143018,2.89,BIV+B2V,"Nebula brightest s of star"
Ic 4592,16 12.0:,-19 28:,Sco,R,150,60, ,3,R-MB, , ,145501-2,4.00,B2IV-V,"Outer region is red due to light from Antares"
RCW 103,16 17.1,-51 07,Nor,E,5,3, ,2, , , , , , ,"SNR"
RCW 102,16 17.8,-51 55,Nor,E,12,8, ,2, , , ,145492,9.3,B2Ib, ,
IC 4601,16 20.0,-20 02,Sco,R,20,10, ,3,VB, , ,147009,8.08,B9.5V,"Several components"
RCW 106,16 20.8,-50 55,Nor,E,35,20, ,3, , , , , , , ,
Sh2-9,16 21.1,-25 35,Sco,E+R,60,50, ,3,VR-B,Ir,AF,147165,2.89v,B2III+09.5V,"[Sco]"
RCW 104,16 24.0,-51 31,Nor,E,20,20, ,3, , , ,147419,10.5,WN4,"Ring-shaped"
IC 4604,16 25.6,-23 26,Oph,R,60,25, ,2,VB, , ,147933-4,4.61,B2V+B2V,"[Oph]"
IC 4603,16 25.6,-24 28,Oph,R,20,10,eF,3,MB, , ,147889,7.89,B2V,"Near Oph"
vdB 107,16 29.2,-26 27,Sco,R,85,80, ,3,VR, , ,148478-9,0.92,M1Ib+dB4,"[Antares} Ced 132, but not IC 4606"
IC 4605,16 30.2,-25 06,Sco,R,30,30,eF,3,VB, , ,148605,4.78,B2YV,"[22 Sco]"
"NGC 6188,93",16 40.5,-48 47,Ara,E+R,20,12,F,2, , , ,NGC 6193, , ,"RCW 108. Near a dark nebula"
NGC 6231,16 52.5:,-42 05:,Sco,E,240, , ,4, , , ,151804,5.22,O8Ifp,"RCW 113"
IC 4628,16 57.0,-40 20,Sco,E,90,60,F,2, , , ,152723,7.31,06k,"Near cluster Tr 24"
NGC 6281,17 02.8,-38 07,Sco,E,60, , ,3, ,Ir,AF,153919,6.55,07,"Gum 57, RCW 119"
vdBH 81,17 04.0,-51 05,Ara,R,6, , ,2,MB, , ,153772,8.32,B2V, ,
Sh2-3,17 12.3,-38 29,Sco,E,12, , ,2, ,E,F, ,10, ,"Gum 58, RCW 120"
RCW 126,17 16.9,-36 21,Sco,E,16,4, ,3,R,Ir, , , , , ,
Sh2-5,17 18.6,-38 25,Sco,E,100,50, ,3, ,Ir,AF,157038,6.41,B4Ia,"Gum 59, RCW 123"
vdB 111,17 19.0,+6 05,Oph,R,12, , ,3,B, , ,156697,6.49,FOn, ,
NGC 6334,17 20.5,-35 43,Sco,E,40,30,pF,2,R,Ir,AF,156369,8.9,A2V,"Gum 61-64, RCW 127"
NGC 6357,17 24.6,-34 10,Sco,E,50,40,F,2,R,Ir,F, ,10,B,"Gum 66, RCW 131"
Sh2-13,17 29.1,-31 33,Sco,E,40, , ,3, ,E,AF,158186,7.00,BOV,"Gum 68, RCW 133"
NGC 6383,17 34.7,-32 35,Sco,E,80,30, ,3,R,C,AF,159176,5.70,O6V+O6V,"Gum 67, RCW 132"
Sh2-16,17 46.6,-29 18,Sgr,E,12,12, ,3,VR,Ir,AF,Cr 347, , ,"Gum 70"
NGC 6514,18 02.6,-23 02,Sgr,E+R,29,27,vB,1,R-VB,Ir,F,164492,7.63,O5e,"Trifid nebula M20"
NGC 6526,18 02.6,-23 35,Sgr,E,40, ,F,3, ,C,AF,164971,7.3,BO,"Gum 74, RCW 145"
NGC 6523,18 03.8,-24 23,Ser,E,90,40,vB,1,R,Ir,F,NGC 6530, , ,"Lagoon nebula M8. Faint f ext. IC 4678"
Sh2-46,18 06.1,-14 10,SerCd,E,30,20, ,3,R,E,AF,165319,7.94,BOIa,"Gum 80, RCW 158"
IC 4684,18 09.1,-23 25,Sgr,R,3,2, ,3,B, , ,165872,9.3,B9,"IC 4681 is 12' p"
IC 4685,18 09.3,-23 59,Sgr,R,10,8, ,3, , , ,165921,7.28,07.5,"With S-shaped dark nebula B303"
Ie 1274,18 09.5,-23 44,Sgr,E,9,8, ,1,R,C,AF,166033,9.9,B5,"Adjacent to dark nebula B91"
